x,y_(ТЦ2м_Em650.txt),y_(ТЦ2м_Em425.txt),y_(ТЦ2м_Em370.txt),y_(ТЦ2м_Em405.txt)
654,,6.848867,5.750622,8.086453
655,,7.632404,6.499143,9.098934
656,,8.301636,7.219685,10.050613
657,,8.853274,7.847785,10.866125
658,,9.347879,8.383769,11.610829
659,,9.740029,8.827273,12.253326
660,,9.998116,9.158734,12.708503
661,,10.121091,9.337601,12.999207
662,,10.140522,9.426758,13.134213
663,,10.076741,9.453120,13.129062
664,,9.896848,9.357686,13.017127
665,12.657672,9.635623,9.140998,12.795577
666,11.914945,9.328232,8.780854,12.426651
667,11.191898,8.955392,8.421948,11.966837
668,10.443516,8.546331,8.073086,11.491395
669,9.582385,8.136049,7.638630,10.946488
670,8.746545,7.727796,7.206490,10.374173
671,8.016122,7.292004,6.779313,9.833365
672,7.156872,6.821091,6.349107,9.232437
673,6.393753,6.378093,5.921408,8.620730
674,5.825875,5.936052,5.471891,8.076793
675,5.234963,5.515093,5.055886,7.524460
676,4.796209,5.152161,4.702811,7.002564
677,4.378683,4.812442,4.355045,6.520517
678,3.939838,4.467079,4.034358,6.041989
679,3.668063,4.143542,3.790771,5.578472
680,3.390018,3.865539,3.524991,5.153370
681,3.140326,3.592050,3.269518,4.829192
682,2.935182,3.325456,3.052046,4.525196
683,2.735083,3.106218,2.838878,4.220785
684,2.559045,2.931892,2.688328,3.968995
685,2.417161,2.761130,2.582521,3.745755
686,2.289580,2.612567,2.458779,3.544115
687,2.195083,2.478746,2.332667,3.351710
688,2.113710,2.353804,2.200760,3.187140
689,2.022466,2.266020,2.096930,3.061389
690,2.000643,2.203498,2.039777,2.942714
691,1.975880,2.128754,1.956960,2.844049
692,1.907993,2.053730,1.877453,2.792089
693,1.855918,2.002173,1.824671,2.744950
694,1.829679,1.949265,1.765425,2.700221
695,1.798724,1.916718,1.720013,2.664155
696,1.771673,1.905348,1.697136,2.630500
697,1.800254,1.890912,1.699957,2.615204
698,1.812392,1.875754,1.701509,2.611607
699,1.815659,1.856436,1.682622,2.613246
700,1.821982,1.857551,1.703998,2.605861
701,1.875642,1.862538,1.729496,2.604869
702,1.932573,1.871291,1.720548,2.629714
703,1.925005,1.900701,1.738315,2.662365
704,1.923205,1.914964,1.760515,2.695350
705,1.946661,1.921081,1.786529,2.734725
